Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005768896050110127,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,86.8,0.0052116492453963435,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Add Two Numbers,85.4,0.004870105285270077,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,85.1,0.003929939127851244,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,84.8,0.004436541677338058,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Insert Delete GetRandom O(1),84.8,0.005540958105482351,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Number of Islands,84.2,0.006459365868315838,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Best Time to Buy and Sell Stock,84.0,0.005696313413604255,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Trapping Rain Water,80.6,0.006761507877094043,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Longest Palindromic Substring,80.1,0.0038046337004608564,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,3Sum,79.1,0.003930100455158156,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Invalid Transactions,79.1,0.003235064503626599,https://leetcode.com/problems/invalid-transactions,"Array, Hash Table, String, Sorting"
EASY,Longest Common Prefix,78.9,0.004778147296562657,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Flatten a Multilevel Doubly Linked List,78.8,0.006303689232026809,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
MEDIUM,Word Search,78.2,0.004758739329658316,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Median of Two Sorted Arrays,77.3,0.004684476820767883,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Majority Element,76.3,0.006637444404374115,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Reverse Integer,75.6,0.0032046217029062323,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Container With Most Water,75.6,0.006024273567805704,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Merge Sorted Array,75.4,0.005509617267494653,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Decode String,75.4,0.006278179408860443,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Valid Anagram,74.8,0.00682651219644788,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Remove Duplicates from Sorted Array,73.4,0.006308029080528053,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Palindrome Number,72.9,0.006069295947061543,https://leetcode.com/problems/palindrome-number,Math
EASY,Merge Two Sorted Lists,72.4,0.0068452096442773456,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Roman to Integer,72.2,0.006679182502149349,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,LRU Cache,72.2,0.004754602248973366,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Consecutive Sequence,71.9,0.004714860426736946,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Subarray Sum Equals K,71.9,0.004756645037736835,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Design Underground System,71.9,0.007451676155188035,https://leetcode.com/problems/design-underground-system,"Hash Table, String, Design"
MEDIUM,Search in Rotated Sorted Array,71.4,0.004509748516803153,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Min Stack,70.9,0.005831161184271589,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Maximum Subarray,70.6,0.005347367999222396,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Group Anagrams,69.7,0.007279876581103175,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Subsets,69.7,0.008247564019400435,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Next Permutation,68.9,0.004551813068260061,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Move Zeroes,67.9,0.00639886850924291,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,First Unique Character in a String,67.6,0.006571192156138142,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Rotate Image,67.0,0.008027379765803063,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Generate Parentheses,66.3,0.007881138106344736,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Climbing Stairs,65.6,0.005415747272993031,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Rotate Array,65.6,0.00451033235971753,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Validate Binary Search Tree,65.2,0.0035911519082556663,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Find Peak Element,65.2,0.004703001140698726,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Meeting Rooms II,65.2,0.005272302243001454,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Reverse Linked List,64.8,0.00807083064082764,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
HARD,Number of Ships in a Rectangle,64.8,0.0068841005166744955,https://leetcode.com/problems/number-of-ships-in-a-rectangle,"Array, Divide and Conquer, Interactive"
HARD,Word Break II,63.7,0.005572754731136461,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
EASY,Create Hello World Function,63.7,0.008191719447071522,https://leetcode.com/problems/create-hello-world-function,
EASY,Valid Palindrome,63.3,0.005358813876558438,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Koko Eating Bananas,63.3,0.005015266076034149,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,String to Integer (atoi),62.9,0.0021184139791209588,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Find First and Last Position of Element in Sorted Array,62.9,0.004912149197054959,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Coin Change,62.9,0.004863054498070426,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Sqrt(x),62.5,0.004196743558259856,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Pascal's Triangle,62.5,0.00790887557410839,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Single Number,62.5,0.007786280734988192,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Longest Repeating Character Replacement,62.5,0.005992797784951412,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,4Sum,62.0,0.0040905294182748035,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
